threshold,id,timepoint,ear,frequency,status,status_message,pth
53.25,103,0,left,4000,Success,sigmoid,C:\Data\ABRpresto data\Mouse103_timepoint0_left abr_io_ABRpresto_fit 4000.png
38.06,103,0,left,5656,Success,sigmoid,C:\Data\ABRpresto data\Mouse103_timepoint0_left abr_io_ABRpresto_fit 5656.png
37.01,103,0,left,8000,Success,sigmoid,C:\Data\ABRpresto data\Mouse103_timepoint0_left abr_io_ABRpresto_fit 8000.png
22.17,103,0,right,11313,Success,sigmoid,C:\Data\ABRpresto data\Mouse103_timepoint0_right abr_io_ABRpresto_fit 11313.png
28.81,103,0,right,16000,Success,sigmoid,C:\Data\ABRpresto data\Mouse103_timepoint0_right abr_io_ABRpresto_fit 16000.png
34.85,103,0,right,22627,Success,sigmoid,C:\Data\ABRpresto data\Mouse103_timepoint0_right abr_io_ABRpresto_fit 22627.png
25.95,103,0,right,32000,Success,sigmoid,C:\Data\ABRpresto data\Mouse103_timepoint0_right abr_io_ABRpresto_fit 32000.png
53.19,103,0,right,4000,Success,sigmoid,C:\Data\ABRpresto data\Mouse103_timepoint0_right abr_io_ABRpresto_fit 4000.png
38.56,103,0,right,5656,Success,sigmoid,C:\Data\ABRpresto data\Mouse103_timepoint0_right abr_io_ABRpresto_fit 5656.png
38.54,103,0,right,8000,Success,sigmoid,C:\Data\ABRpresto data\Mouse103_timepoint0_right abr_io_ABRpresto_fit 8000.png
64.57,104,0,left,11313,Success,sigmoid,C:\Data\ABRpresto data\Mouse104_timepoint0_left abr_io_ABRpresto_fit 11313.png
75.34,104,0,left,16000,Success,sigmoid,C:\Data\ABRpresto data\Mouse104_timepoint0_left abr_io_ABRpresto_fit 16000.png
77.01,104,0,left,22627,Success,sigmoid,C:\Data\ABRpresto data\Mouse104_timepoint0_left abr_io_ABRpresto_fit 22627.png
88.35,104,0,left,32000,Success,sigmoid,C:\Data\ABRpresto data\Mouse104_timepoint0_left abr_io_ABRpresto_fit 32000.png
85.07,104,0,left,4000,Success,sigmoid,C:\Data\ABRpresto data\Mouse104_timepoint0_left abr_io_ABRpresto_fit 4000.png
85.83,104,0,left,45254,Success,sigmoid,C:\Data\ABRpresto data\Mouse104_timepoint0_left abr_io_ABRpresto_fit 45254.png
79.31,104,0,left,5656,Success,sigmoid,C:\Data\ABRpresto data\Mouse104_timepoint0_left abr_io_ABRpresto_fit 5656.png
62.95,104,0,left,8000,Success,sigmoid,C:\Data\ABRpresto data\Mouse104_timepoint0_left abr_io_ABRpresto_fit 8000.png
82.18,104,0,right,11313,Success,sigmoid,C:\Data\ABRpresto data\Mouse104_timepoint0_right abr_io_ABRpresto_fit 11313.png
